prod_id,name,price,category,sub-category,image1,image2,Brand,description,size,,,,,
1,Men Formal Ribbed Shirt Half Sleeve Shirt,398,Men,Top-Wear,shirtF1.jpg,shirtB1.jpg,SmartWear,"Unique Waffle: This shirt for men features a stylish waffle weave, offering a half shirt for men look that's both soft and modern.
Durable Fabric: Crafted from high-quality materials, this textured shirt for men ensures durability and long-lasting wear.
Comfortable Fit: The relaxed design of this shirt for men stylish provides all-day comfort, perfect for both casual and formal settings.
Versatile Wear: Ideal for any occasion, this casual shirt for men easily transitions from daywear to a black shirt for men that's perfect for layering or formal events.
Occasion:- Evening Wear, Work Wear, Festival Wear, Function Wear, Club Wear, Party, Hangouts",S-XXL,,,,,
2,Men's Solid Shirt with Chest Pocket Short Sleeve Shirt for Summer Outdoor Activities,359,Men,Top-Wear,shirtF2.jpg,shirtB2.jpg,SmartWear,"Fabric : Polyester, Versatile essential for everyday wear.
Versatile design : Ideal for casual outings, everyday wear for a stylish ensemble.
Stylish color options : Choose from a selection of classic and contemporary colors to suit your preference.
Fit : Modern regular fit for a sleek and flattering look.
Surface : Luxuriously soft texture that feels gentle against the skin for all-day wear.",S-XXL,,,,,
3,Men's Brown Floral Print Vintage Flower Holiday Breathable Short Sleeve Button Up Shirt,499,Men,Top-Wear,shirtF3.jpg,shirtB3.jpg,SmartWear,"100% Rayon
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Button-front shirt featuring spread collar and short sleeve
Great for summer vacations like camp, luau, cruise, sun beach, etc.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
4,Men's Vintage Floral Retro Button Up Blue Summer Holiday Short Sleeve Shirt,399,Men,Top-Wear,shirtF4.jpg,shirtB4.jpg,SmartWear,"70% Cotton 30% Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Perfect for summer activities such as vacation, leisure, sun beach, travel, concerts, streetwear, music festivals and themed parties. 
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
5,Men's Red Floral Vintage Short Sleeve Button Up Beach Tropical Hawaiian Shirt,458,Men,Top-Wear,shirtF5.jpg,shirtB5.jpg,SmartWear,"70% Cotton 30% Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Perfect for summer activities such as vacation, leisure, sun beach, travel, concerts, streetwear, music festivals and themed parties. 
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
6,Men's Retro Button Up Short Sleeve Cotton 70s Shirt,545,Men,Top-Wear,shirtF6.jpg,shirtB6.jpg,SmartWear,"70%Cotton 30%Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Button-front shirt featuring spread collar and short sleeve
Great for summer vacations like camp,luau,cruise,sun beach etc.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
7,Men's Vintage Paisley Print 70s Button Up Green Boho Retro Tribal Short Sleeve Shirt,499,Men,Top-Wear,shirtF7.jpg,shirtB7.jpg,SmartWear,"70% Cotton 30% Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Perfect for summer activities such as vacation, leisure, sun beach, travel, concerts, streetwear, music festivals and themed parties. They are designed to keep you cool, comfy and chic in warm weather.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
8,Men's Retro Flower Print Floral Button Up Vintage Holiday Short Sleeve Shirt,389,Men,Top-Wear,shirtF8.jpg,shirtB8.jpg,SmartWear,"70%Cotton 30%Viscose
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Button-front shirt featuring spread collar and short sleeve
Great for summer vacations like camp,luau,cruise,sun beach etc.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
9,Men's Vintage Vertical Striped Short Sleeve 70s Retro Aztec Print Button Up Shirt,599,Men,Top-Wear,shirtF9.jpg,shirtB9.jpg,SmartWear,"97% Polyester 3% Spandex
Premium fabric with slight stretch
Regular fit
Wrinkle-free fabric with no shrinkage after washes
Colorfast, Wearable material
Machine wash cold; Tumble dry low; No bleach
Perfect for daily wear and can be worn to work, on a date, to dinner parties, costume parties, themed parties, the beach, vacations, BBQs, music festivals and even Hip Hop events.",S-XXL,,,,,
10,Men's Green Striped Vintage Short Sleeve 70s Aztec Print Western Button Retro Shirt,399,Men,Top-Wear,shirtF10.jpg,shirtB10.jpg,SmartWear,"100% Rayon
Lightweight, Breathable fabric with great comfort
Regular fit
Machine wash cold; Hang to dry; Low iron; No bleach
Perfect for daily wear and can be worn to work, on a date, to dinner parties, costume parties, themed parties, the beach, vacations, BBQs, camp, barbecue, sun beach, Hawaii parties, music festivals and even Hip Hop events.",S-XXL,,,,,
11,Men's Breathable Cotton Casual Short Sleeve Shirt,469,Men,Top-Wear,shirtF11.jpg,shirtB11.jpg,SmartWear,"97%Cotton 3%Spandex
Premium fabric with slight stretch
Regular fit
Machine wash cold; Tumble dry low; Low iron; No bleach
Recommendation : Hand wash cold; Hang to dry
Button-front shirt featuring spread collar and short sleeve.
Great for summer vacation, daily leisure, sun beach, travel, rock parties, concert, streetwear, stage performance, dating, urban style, themed parties etc.
Garments, especially those of cotton may see slight shrinkage after washed",S-XXL,,,,,
